Title,Price,Description,Link,Date,Usage
Modern schilderij Denver Dekker? Patroon Mannen en Vrouwen,"€ 60,00","Modern schilderij denver dekker? Patroon mannen en vrouwen abstracte figuren kunst, acryl of aquarel op papier. Afbeelding mannen",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-modern/m2225412101-modern-schilderij-denver-dekker-patroon-mannen-en-vrouwen,19 jan 25,Ophalen
Abstracte kunst M.C. Escher stijl Oost-Indische inkt 12x16cm,"€ 39,00",Kijk ook eens in de webshop met ruim 3100 bijzondere objecten en boeken en héél veel curiosa en kunst. Abstracte kunst m. C. Esche,https://www.marktplaats.nl/v/antiek-en-kunst/curiosa-en-brocante/m2205120819-abstracte-kunst-m-c-escher-stijl-oost-indische-inkt-12x16cm,23 nov 24,Ophalen of Verzenden
Escher sculptuur van lucht en water nieuw!,Bieden,"Escher sculptuur van lucht en water nieuw! Wij verkopen uitsluitend nieuwe sculpturen van escher, verpakt in de originele verpakki",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-designobjecten/m2203760554-escher-sculptuur-van-lucht-en-water-nieuw,20 nov 24,Ophalen of Verzenden
Ets drie gravures posters MCE Maurits Cornelis Escher,"€ 100,00",Ets drie gravures posters mce maurits cornelis escher. Prijs 100 euro per stuk. Meer info 0646396866 tussen cor en kitsch bezoek a,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-etsen-en-gravures/m2203584508-ets-drie-gravures-posters-mce-maurits-cornelis-escher,19 nov 24,Ophalen of Verzenden
Reproductie van mijn eigengemaakte pentekening ‘Koppelpoort’,"€ 50,00","Dit een een reproductie van mijn tekening ‘koppelpoort’ de drager is biotop 250 papier, het formaat is 32 x 45 cm (a3+) en de opla",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2215625165-reproductie-van-mijn-eigengemaakte-pentekening-koppelpoort,26 dec 24,Ophalen of Verzenden
Prachtig speksteen sierbord bord met vissen,"€ 39,95",Wauw! Wat een prachtig sierbord! Het bord is met de hand gemaakt in afrika. Het materiaal is speksteen. Het prachtige patroon met,https://www.marktplaats.nl/v/antiek-en-kunst/kunst-niet-westerse-kunst/m2220966354-prachtig-speksteen-sierbord-bord-met-vissen,8 jan 25,Verzenden
"Serie reproducties ‘stadsgezichten op Amersfoort,","€ 100,00","Dit is een 3-delige serie reproducties van mijn serie tekeningen ‘stadsgezichten op amersfoort’ de drager is biotop 250 papier, he",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-tekeningen-en-foto-s/m2215628390-serie-reproducties-stadsgezichten-op-amersfoort,23 dec 24,Ophalen of Verzenden
4 M.C. Escher Metamorphose Heruitgave 1972 grafische kunst,"€ 99,95","Prijs is voor alle 4 stuks samen. Deze set bevat vier originele prints van m.c. Eschers beroemde ""metamorphose,"" heruit",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-abstract/m2219477868-4-m-c-escher-metamorphose-heruitgave-1972-grafische-kunst,4 jan 25,Ophalen of Verzenden
gebruder Deyhle: Karafje met verzilverde hals,Bieden,15cm. Hoog karafje met verzilverde hals; 1000/1000. Op de verzilverde hals is een logo aangebracht (zie de foto's). Dit logo i,https://www.marktplaats.nl/v/antiek-en-kunst/antiek-glas-en-kristal/m2222612391-gebruder-deyhle-karafje-met-verzilverde-hals,12 jan 25,Ophalen of Verzenden
Escher Mosaic II Vlakvulling II reproduction 1970,"€ 199,00","Te koop: kwaliteits reproductie van m.c. Escher mosaic ii, vlakvulling ii, vervaardigd door van dooren bv voor reprinter reproduct",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-schilderijen-modern/m2221356384-escher-mosaic-ii-vlakvulling-ii-reproduction-1970,9 jan 25,Ophalen of Verzenden
Jan Veringa Grafisch Vignet 1934 Muizen stijl M.C.Escher,Gereserveerd,"20,5 x 5 cm. Zeer redelijke staat. Uitgegeven in 1934 johannes (‘jan’) veringa werd geboren in 1907 in haarlem en overleed ook daa",https://www.marktplaats.nl/v/antiek-en-kunst/kunst-overige-kunst/m2209655881-jan-veringa-grafisch-vignet-1934-muizen-stijl-m-c-escher,6 dec 24,Verzenden
