Title,Price,Description,Link,Date,Usage,Brand,Model,ClassifiedDate
"1 MacBook Pro M3 8GB 1T (twv. €2159,-)","€ 1.699,00","Heb het geld nodig! Bieden vanaf €1.699,- Ik kan alleen verzenden, naar uw woonadres 2 tot 6 werkdagen  1macbook pro spacegri",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2225404303-1-macbook-pro-m3-8gb-1t-twv-2159,Vandaag,Nieuw,Unknown,Unknown,Vandaag
MacBook Pro 2023 M2 Max 16-inch A2780,"€ 3.250,00","Ivm upgrade gaat deze laptop weg gekocht in april 2023 helemaal compleet, incl doos, lader etc en indien gewenst factuur ultra com",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2225854199-macbook-pro-2023-m2-max-16-inch-a2780,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Apple MacBook Pro 15 2016 | Core i7 / 16GB / 500GB SSD,"€ 495,00","Apple macbook pro 15 inch retina, met touch bar deze macbook met retinascherm heeft een resolutie van maar liefst 2880 x 1800 pixe",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/a1500716569-apple-macbook-pro-15-2016-core-i7-16gb-500gb-ssd,Vandaag,Gebruikt,Unknown,Unknown,Vandaag
"Macbook Pro 14""( Nov 2023 ) - M3 Pro, 18GB, 512GB Nieuw","€ 1.800,00","Te koop, nieuw en gesealde macbook pro 14"" ( nov 2023 ) model a2992, product is nooit open geweest en heeft netjes in een kas",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2221565182-macbook-pro-14-nov-2023-m3-pro-18gb-512gb-nieuw,Vandaag,Nieuw,Unknown,Unknown,Vandaag
MacBook Pro m2 2023 14 inch met 12/19 16gb 2tb ssd,"€ 1.999,95",Als nieuwe macbook pro 2023 m2 14 inch in het spacegrey. De macbook is als nieuw. Dit was een zeer groot geupgrade model. Apple ma,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2221698006-macbook-pro-m2-2023-14-inch-met-12-19-16gb-2tb-ssd,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
MacBook Pro 2018 I-9 1TB 15-Inch,Bieden,"Wegens nieuwe laptops hierbij aangeboden. Macbook is in goede staat, wel lichte gebruikssporen. De macbook word geleverd met een f",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2195936642-macbook-pro-2018-i-9-1tb-15-inch,Vandaag,Zo goed als nieuw,Unknown,Unknown,Vandaag
Macbook pro 2016 15-inch i7 512gb Incl. Lader | Nette Staat,"€ 349,99","Macbook pro 2016 15-inch i7 512gb incl. Lader | nette staat - nette staat - 16gb ram - 512gb - i7 - 2,6ghz - intel graphics 530 15",https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/a1509838537-macbook-pro-2016-15-inch-i7-512gb-incl-lader-nette-staat,Vandaag,Nieuw,Unknown,Unknown,Vandaag
Apple MacBook Pro 14.2 Inch - M3 Pro chip - 18GB RAM/1TB SSD,"€ 1.999,95",Welkom bij refurb market! Graag bieden wij u het volgende aan: - nieuw op voorraad - apple macbook pro 14.2 Nieuwstaat. Originele,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2214656479-apple-macbook-pro-14-2-inch-m3-pro-chip-18gb-ram-1tb-ssd,Vandaag,Nieuw,Unknown,Unknown,Vandaag
Apple MacBook Pro 14.2 Inch - M3 Pro chip - 18GB RAM/512GB,"€ 1.749,95",Welkom bij refurb market! Graag bieden wij u het volgende aan: - nieuw op voorraad - apple macbook pro 14.2 A grade* originele doo,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/m2214662289-apple-macbook-pro-14-2-inch-m3-pro-chip-18gb-ram-512gb,17 jan 25,Refurbished,Unknown,Unknown,17 jan 25
Refurbished Macbooks |Diverse| N.O.P | Garantie,Zie omschrijving,Moet je binnenkort een macbook kopen? Voor studie of werk? Heb je naar de prijzen gekeken en waren ze onredelijk? Maak je geen zor,https://www.marktplaats.nl/v/computers-en-software/apple-macbooks/a1501610579-refurbished-macbooks-diverse-n-o-p-garantie,Vandaag,Refurbished,Unknown,Unknown,Vandaag
